   256          Number of colors in the file
 Name                 RGB            R     G     B        C       M        Y       K
       1                 0          0     0     0        0.000   0.000   0.000   1.000
       2                 0          0     0     0        0.000   0.000   0.000   1.000
       3                 0          0     0     0        0.000   0.000   0.000   1.000
       4                 0          0     0     0        0.000   0.000   0.000   1.000
       5                 0          0     0     0        0.000   0.000   0.000   1.000
       6                 0          0     0     0        0.000   0.000   0.000   1.000
       7                 0          0     0     0        0.000   0.000   0.000   1.000
       8                 0          0     0     0        0.000   0.000   0.000   1.000
       9                 0          0     0     0        0.000   0.000   0.000   1.000
      10                 0          0     0     0        0.000   0.000   0.000   1.000
      11                 0          0     0     0        0.000   0.000   0.000   1.000
      12                 0          0     0     0        0.000   0.000   0.000   1.000
      13                 0          0     0     0        0.000   0.000   0.000   1.000
      14                 0          0     0     0        0.000   0.000   0.000   1.000
      15                 0          0     0     0        0.000   0.000   0.000   1.000
      16                 0          0     0     0        0.000   0.000   0.000   1.000
      17             65963          1     1   171        0.994   0.994   0.000   0.329
      18             65963          1     1   171        0.994   0.994   0.000   0.329
      19             65963          1     1   171        0.994   0.994   0.000   0.329
      20             65963          1     1   171        0.994   0.994   0.000   0.329
      21             65963          1     1   171        0.994   0.994   0.000   0.329
      22             65963          1     1   171        0.994   0.994   0.000   0.329
      23             65963          1     1   171        0.994   0.994   0.000   0.329
      24             65963          1     1   171        0.994   0.994   0.000   0.329
      25             65963          1     1   171        0.994   0.994   0.000   0.329
      26             65963          1     1   171        0.994   0.994   0.000   0.329
      27             65963          1     1   171        0.994   0.994   0.000   0.329
      28             65963          1     1   171        0.994   0.994   0.000   0.329
      29             65963          1     1   171        0.994   0.994   0.000   0.329
      30             65963          1     1   171        0.994   0.994   0.000   0.329
      31             65963          1     1   171        0.994   0.994   0.000   0.329
      32             65963          1     1   171        0.994   0.994   0.000   0.329
      33             66016          1     1   224        0.996   0.996   0.000   0.122
      34             66016          1     1   224        0.996   0.996   0.000   0.122
      35             66016          1     1   224        0.996   0.996   0.000   0.122
      36             66016          1     1   224        0.996   0.996   0.000   0.122
      37             66016          1     1   224        0.996   0.996   0.000   0.122
      38             66016          1     1   224        0.996   0.996   0.000   0.122
      39             66016          1     1   224        0.996   0.996   0.000   0.122
      40             66016          1     1   224        0.996   0.996   0.000   0.122
      41             66016          1     1   224        0.996   0.996   0.000   0.122
      42             66016          1     1   224        0.996   0.996   0.000   0.122
      43             66016          1     1   224        0.996   0.996   0.000   0.122
      44             66016          1     1   224        0.996   0.996   0.000   0.122
      45             66016          1     1   224        0.996   0.996   0.000   0.122
      46             66016          1     1   224        0.996   0.996   0.000   0.122
      47             66016          1     1   224        0.996   0.996   0.000   0.122
      48             66016          1     1   224        0.996   0.996   0.000   0.122
      49             28415          0   110   255        1.000   0.569   0.000   0.000
      50             28415          0   110   255        1.000   0.569   0.000   0.000
      51             28415          0   110   255        1.000   0.569   0.000   0.000
      52             28415          0   110   255        1.000   0.569   0.000   0.000
      53             28415          0   110   255        1.000   0.569   0.000   0.000
      54             28415          0   110   255        1.000   0.569   0.000   0.000
      55             28415          0   110   255        1.000   0.569   0.000   0.000
      56             28415          0   110   255        1.000   0.569   0.000   0.000
      57             28415          0   110   255        1.000   0.569   0.000   0.000
      58             28415          0   110   255        1.000   0.569   0.000   0.000
      59             28415          0   110   255        1.000   0.569   0.000   0.000
      60             28415          0   110   255        1.000   0.569   0.000   0.000
      61             28415          0   110   255        1.000   0.569   0.000   0.000
      62             28415          0   110   255        1.000   0.569   0.000   0.000
      63             28415          0   110   255        1.000   0.569   0.000   0.000
      64             28415          0   110   255        1.000   0.569   0.000   0.000
      65            109566          1   171   254        0.996   0.327   0.000   0.004
      66            109566          1   171   254        0.996   0.327   0.000   0.004
      67            109566          1   171   254        0.996   0.327   0.000   0.004
      68            109566          1   171   254        0.996   0.327   0.000   0.004
      69            109566          1   171   254        0.996   0.327   0.000   0.004
      70            109566          1   171   254        0.996   0.327   0.000   0.004
      71            109566          1   171   254        0.996   0.327   0.000   0.004
      72            109566          1   171   254        0.996   0.327   0.000   0.004
      73            109566          1   171   254        0.996   0.327   0.000   0.004
      74            109566          1   171   254        0.996   0.327   0.000   0.004
      75            109566          1   171   254        0.996   0.327   0.000   0.004
      76            109566          1   171   254        0.996   0.327   0.000   0.004
      77            109566          1   171   254        0.996   0.327   0.000   0.004
      78            109566          1   171   254        0.996   0.327   0.000   0.004
      79            109566          1   171   254        0.996   0.327   0.000   0.004
      80            109566          1   171   254        0.996   0.327   0.000   0.004
      81            123134          1   224   254        0.996   0.118   0.000   0.004
      82            123134          1   224   254        0.996   0.118   0.000   0.004
      83            123134          1   224   254        0.996   0.118   0.000   0.004
      84            123134          1   224   254        0.996   0.118   0.000   0.004
      85            123134          1   224   254        0.996   0.118   0.000   0.004
      86            123134          1   224   254        0.996   0.118   0.000   0.004
      87            123134          1   224   254        0.996   0.118   0.000   0.004
      88            123134          1   224   254        0.996   0.118   0.000   0.004
      89            123134          1   224   254        0.996   0.118   0.000   0.004
      90            123134          1   224   254        0.996   0.118   0.000   0.004
      91            123134          1   224   254        0.996   0.118   0.000   0.004
      92            123134          1   224   254        0.996   0.118   0.000   0.004
      93            123134          1   224   254        0.996   0.118   0.000   0.004
      94            123134          1   224   254        0.996   0.118   0.000   0.004
      95            123134          1   224   254        0.996   0.118   0.000   0.004
      96            123134          1   224   254        0.996   0.118   0.000   0.004
      97            130561          1   254     1        0.996   0.000   0.996   0.004
      98            130561          1   254     1        0.996   0.000   0.996   0.004
      99            130561          1   254     1        0.996   0.000   0.996   0.004
     100            130561          1   254     1        0.996   0.000   0.996   0.004
     101            130561          1   254     1        0.996   0.000   0.996   0.004
     102            130561          1   254     1        0.996   0.000   0.996   0.004
     103            130561          1   254     1        0.996   0.000   0.996   0.004
     104            130561          1   254     1        0.996   0.000   0.996   0.004
