   256          Number of colors in the file
 Name                             RGB       R     G     B        C        M        Y        K
    1                                131    0    0  131   1.000   1.000   0.000   0.486
    2                                135    0    0  135   1.000   1.000   0.000   0.471
    3                                139    0    0  139   1.000   1.000   0.000   0.455
    4                                143    0    0  143   1.000   1.000   0.000   0.439
    5                                147    0    0  147   1.000   1.000   0.000   0.424
    6                                151    0    0  151   1.000   1.000   0.000   0.408
    7                                155    0    0  155   1.000   1.000   0.000   0.392
    8                                159    0    0  159   1.000   1.000   0.000   0.376
    9                                163    0    0  163   1.000   1.000   0.000   0.361
   10                                167    0    0  167   1.000   1.000   0.000   0.345
   11                                171    0    0  171   1.000   1.000   0.000   0.329
   12                                175    0    0  175   1.000   1.000   0.000   0.314
   13                                179    0    0  179   1.000   1.000   0.000   0.298
   14                                183    0    0  183   1.000   1.000   0.000   0.282
   15                                187    0    0  187   1.000   1.000   0.000   0.267
   16                                191    0    0  191   1.000   1.000   0.000   0.251
   17                                195    0    0  195   1.000   1.000   0.000   0.235
   18                                199    0    0  199   1.000   1.000   0.000   0.220
   19                                203    0    0  203   1.000   1.000   0.000   0.204
   20                                207    0    0  207   1.000   1.000   0.000   0.188
   21                                211    0    0  211   1.000   1.000   0.000   0.173
   22                                215    0    0  215   1.000   1.000   0.000   0.157
   23                                219    0    0  219   1.000   1.000   0.000   0.141
   24                                223    0    0  223   1.000   1.000   0.000   0.125
   25                                227    0    0  227   1.000   1.000   0.000   0.110
   26                                231    0    0  231   1.000   1.000   0.000   0.094
   27                                235    0    0  235   1.000   1.000   0.000   0.078
   28                                239    0    0  239   1.000   1.000   0.000   0.063
   29                                243    0    0  243   1.000   1.000   0.000   0.047
   30                                247    0    0  247   1.000   1.000   0.000   0.031
   31                                251    0    0  251   1.000   1.000   0.000   0.016
   32                                255    0    0  255   1.000   1.000   0.000   0.000
   33                               1279    0    4  255   1.000   0.984   0.000   0.000
   34                               2303    0    8  255   1.000   0.969   0.000   0.000
   35                               3327    0   12  255   1.000   0.953   0.000   0.000
   36                               4351    0   16  255   1.000   0.937   0.000   0.000
   37                               5375    0   20  255   1.000   0.922   0.000   0.000
   38                               6399    0   24  255   1.000   0.906   0.000   0.000
   39                               7423    0   28  255   1.000   0.890   0.000   0.000
   40                               8447    0   32  255   1.000   0.875   0.000   0.000
   41                               9471    0   36  255   1.000   0.859   0.000   0.000
   42                              10495    0   40  255   1.000   0.843   0.000   0.000
   43                              11519    0   44  255   1.000   0.827   0.000   0.000
   44                              12543    0   48  255   1.000   0.812   0.000   0.000
   45                              13567    0   52  255   1.000   0.796   0.000   0.000
   46                              14591    0   56  255   1.000   0.780   0.000   0.000
   47                              15615    0   60  255   1.000   0.765   0.000   0.000
   48                              16639    0   64  255   1.000   0.749   0.000   0.000
   49                              17663    0   68  255   1.000   0.733   0.000   0.000
   50                              18687    0   72  255   1.000   0.718   0.000   0.000
   51                              19711    0   76  255   1.000   0.702   0.000   0.000
   52                              20735    0   80  255   1.000   0.686   0.000   0.000
   53                              21759    0   84  255   1.000   0.671   0.000   0.000
   54                              22783    0   88  255   1.000   0.655   0.000   0.000
   55                              23807    0   92  255   1.000   0.639   0.000   0.000
   56                              24831    0   96  255   1.000   0.624   0.000   0.000
   57                              25855    0  100  255   1.000   0.608   0.000   0.000
   58                              26879    0  104  255   1.000   0.592   0.000   0.000
   59                              27903    0  108  255   1.000   0.576   0.000   0.000
   60                              28927    0  112  255   1.000   0.561   0.000   0.000
   61                              29951    0  116  255   1.000   0.545   0.000   0.000
   62                              30975    0  120  255   1.000   0.529   0.000   0.000
   63                              31999    0  124  255   1.000   0.514   0.000   0.000
   64                              33023    0  128  255   1.000   0.498   0.000   0.000
   65                              33791    0  131  255   1.000   0.486   0.000   0.000
   66                              34815    0  135  255   1.000   0.471   0.000   0.000
   67                              35839    0  139  255   1.000   0.455   0.000   0.000
